transaction_id,date,product_id,product,category,quantity,unit_price,discount_percent,revenue
TXN0040,2026-01-01,8,Webcam,Electronics,12,2199,0,26388.0
TXN0105,2026-01-01,1,Wireless Mouse,Electronics,6,599,0,3594.0
TXN0140,2026-01-01,9,Headphones,Electronics,5,1799,0,8995.0
TXN0245,2026-01-01,3,Office Chair,Furniture,7,3200,5,21280.0
TXN0270,2026-01-01,9,Headphones,Electronics,11,1799,10,17810.1
TXN0008,2026-01-02,5,Bluetooth Speaker,Electronics,13,2499,0,32487.0
TXN0037,2026-01-03,9,Headphones,Electronics,11,1799,0,19789.0
TXN0211,2026-01-03,9,Headphones,Electronics,9,1799,0,16191.0
TXN0227,2026-01-04,5,Bluetooth Speaker,Electronics,12,2499,10,26989.2
TXN0184,2026-01-05,8,Webcam,Electronics,12,2199,10,23749.2
TXN0215,2026-01-05,8,Webcam,Electronics,2,2199,0,4398.0
TXN0260,2026-01-06,10,Notebook,Stationery,13,99,0,1287.0
TXN0001,2026-01-07,2,Laptop,Electronics,12,45000,0,540000.0
TXN0116,2026-01-07,7,Desk Lamp,Furniture,3,899,0,2697.0
TXN0122,2026-01-07,4,USB Cable,Accessories,11,299,0,3289.0
TXN0148,2026-01-07,3,Office Chair,Furniture,1,3200,0,3200.0
TXN0192,2026-01-07,10,Notebook,Stationery,15,99,0,1485.0
TXN0004,2026-01-08,1,Wireless Mouse,Electronics,2,599,0,1198.0
TXN0126,2026-01-08,6,Keyboard,Electronics,2,1299,0,2598.0
TXN0186,2026-01-08,1,Wireless Mouse,Electronics,4,599,0,2396.0
TXN0025,2026-01-09,4,USB Cable,Accessories,13,299,0,3887.0
TXN0109,2026-01-10,9,Headphones,Electronics,14,1799,0,25186.0
TXN0119,2026-01-10,7,Desk Lamp,Furniture,14,899,5,11956.7
TXN0295,2026-01-10,8,Webcam,Electronics,3,2199,10,5937.3
TXN0111,2026-01-11,3,Office Chair,Furniture,5,3200,0,16000.0
TXN0261,2026-01-11,10,Notebook,Stationery,13,99,0,1287.0
TXN0033,2026-01-13,2,Laptop,Electronics,14,45000,0,630000.0
TXN0071,2026-01-13,2,Laptop,Electronics,11,45000,10,445500.0
TXN0065,2026-01-14,8,Webcam,Electronics,11,2199,0,24189.0
TXN0273,2026-01-14,8,Webcam,Electronics,4,2199,0,8796.0
TXN0047,2026-01-15,4,USB Cable,Accessories,4,299,10,1076.4
TXN0082,2026-01-15,3,Office Chair,Furniture,9,3200,0,28800.0
TXN0252,2026-01-16,2,Laptop,Electronics,3,45000,0,135000.0
TXN0035,2026-01-17,10,Notebook,Stationery,7,99,5,658.35
TXN0166,2026-01-17,4,USB Cable,Accessories,7,299,5,1988.35
TXN0083,2026-01-18,3,Office Chair,Furniture,10,3200,0,32000.0
TXN0198,2026-01-18,6,Keyboard,Electronics,9,1299,0,11691.0
TXN0059,2026-01-19,6,Keyboard,Electronics,9,1299,0,11691.0
TXN0092,2026-01-19,2,Laptop,Electronics,9,45000,0,405000.0
TXN0248,2026-01-19,8,Webcam,Electronics,11,2199,0,24189.0
TXN0086,2026-01-21,10,Notebook,Stationery,7,99,10,623.7
TXN0164,2026-01-21,9,Headphones,Electronics,3,1799,0,5397.0
TXN0048,2026-01-22,2,Laptop,Electronics,12,45000,5,513000.0
TXN0236,2026-01-22,5,Bluetooth Speaker,Electronics,4,2499,0,9996.0
TXN0003,2026-01-23,9,Headphones,Electronics,10,1799,5,17090.5
TXN0072,2026-01-24,1,Wireless Mouse,Electronics,15,599,0,8985.0
TXN0146,2026-01-24,6,Keyboard,Electronics,14,1299,0,18186.0
TXN0264,2026-01-24,8,Webcam,Electronics,8,2199,0,17592.0
TXN0011,2026-01-25,7,Desk Lamp,Furniture,6,899,0,5394.0
TXN0297,2026-01-26,8,Webcam,Electronics,9,2199,5,18801.45
TXN0195,2026-01-27,4,USB Cable,Accessories,12,299,0,3588.0
TXN0230,2026-01-27,8,Webcam,Electronics,14,2199,0,30786.0
TXN0108,2026-01-29,1,Wireless Mouse,Electronics,2,599,0,1198.0
TXN0099,2026-01-30,5,Bluetooth Speaker,Electronics,15,2499,0,37485.0
TXN0250,2026-01-30,7,Desk Lamp,Furniture,9,899,0,8091.0
TXN0196,2026-01-31,10,Notebook,Stationery,13,99,10,1158.3
TXN0221,2026-01-31,4,USB Cable,Accessories,12,299,0,3588.0
TXN0222,2026-01-31,6,Keyboard,Electronics,12,1299,10,14029.2
TXN0155,2026-02-01,4,USB Cable,Accessories,8,299,0,2392.0
TXN0254,2026-02-01,8,Webcam,Electronics,8,2199,0,17592.0
TXN0137,2026-02-02,9,Headphones,Electronics,4,1799,5,6836.2
TXN0061,2026-02-03,9,Headphones,Electronics,12,1799,10,19429.2
TXN0274,2026-02-03,9,Headphones,Electronics,15,1799,0,26985.0
TXN0029,2026-02-05,5,Bluetooth Speaker,Electronics,4,2499,10,8996.4
TXN0032,2026-02-05,4,USB Cable,Accessories,9,299,5,2556.45
TXN0298,2026-02-06,1,Wireless Mouse,Electronics,7,599,0,4193.0
TXN0235,2026-02-08,1,Wireless Mouse,Electronics,3,599,10,1617.3
TXN0043,2026-02-09,4,USB Cable,Accessories,6,299,0,1794.0
TXN0100,2026-02-09,9,Headphones,Electronics,5,1799,0,8995.0
TXN0118,2026-02-10,5,Bluetooth Speaker,Electronics,13,2499,0,32487.0
TXN0159,2026-02-10,8,Webcam,Electronics,12,2199,5,25068.6
TXN0022,2026-02-11,4,USB Cable,Accessories,8,299,5,2272.4
TXN0106,2026-02-11,5,Bluetooth Speaker,Electronics,12,2499,5,28488.6
TXN0115,2026-02-11,4,USB Cable,Accessories,13,299,0,3887.0
TXN0191,2026-02-11,2,Laptop,Electronics,5,45000,0,225000.0
