product_id,product,category,current_stock,reorder_level,unit_price,inventory_value,status
1,Wireless Mouse,Electronics,25,20,599,14975,In Stock
2,Laptop,Electronics,141,22,45000,6345000,In Stock
3,Office Chair,Furniture,86,30,3200,275200,In Stock
4,USB Cable,Accessories,129,27,299,38571,In Stock
5,Bluetooth Speaker,Electronics,14,29,2499,34986,Low Stock
6,Keyboard,Electronics,22,17,1299,28578,In Stock
7,Desk Lamp,Furniture,78,17,899,70122,In Stock
8,Webcam,Electronics,28,23,2199,61572,In Stock
9,Headphones,Electronics,30,30,1799,53970,Low Stock
10,Notebook,Stationery,30,24,99,2970,In Stock
